areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2023-01-29,2249,20529287,1307,19084937,942,1444350
nation,England,E92000001,2023-01-28,1802,20527038,1175,19083630,627,1443408
nation,England,E92000001,2023-01-27,2269,20525236,1453,19082455,816,1442781
nation,England,E92000001,2023-01-26,2334,20522967,1463,19081002,871,1441965
nation,England,E92000001,2023-01-25,2419,20520633,1466,19079539,953,1441094
nation,England,E92000001,2023-01-24,2549,20518214,1532,19078073,1017,1440141
nation,England,E92000001,2023-01-23,2385,20515665,1450,19076541,935,1439124
nation,England,E92000001,2023-01-22,1748,20513280,1017,19075091,731,1438189
nation,England,E92000001,2023-01-21,1400,20511532,902,19074074,498,1437458
nation,England,E92000001,2023-01-20,1700,20510132,1095,19073172,605,1436960
nation,England,E92000001,2023-01-19,1809,20508432,1123,19072077,686,1436355
nation,England,E92000001,2023-01-18,1895,20506623,1207,19070954,688,1435669
nation,England,E92000001,2023-01-17,1984,20504728,1244,19069747,740,1434981
nation,England,E92000001,2023-01-16,2308,20502744,1401,19068503,907,1434241
nation,England,E92000001,2023-01-15,1673,20500436,1020,19067102,653,1433334
nation,England,E92000001,2023-01-14,1326,20498763,896,19066082,430,1432681
nation,England,E92000001,2023-01-13,1910,20497437,1217,19065186,693,1432251
nation,England,E92000001,2023-01-12,2199,20495527,1430,19063969,769,1431558
nation,England,E92000001,2023-01-11,2369,20493328,1556,19062539,813,1430789
nation,England,E92000001,2023-01-10,2799,20490959,1792,19060983,1007,1429976
nation,England,E92000001,2023-01-09,3205,20488160,2022,19059191,1183,1428969
nation,England,E92000001,2023-01-08,2495,20484955,1590,19057169,905,1427786
nation,England,E92000001,2023-01-07,2414,20482460,1630,19055579,784,1426881
nation,England,E92000001,2023-01-06,3410,20480046,2291,19053949,1119,1426097
nation,England,E92000001,2023-01-05,4162,20476636,2647,19051658,1515,1424978
nation,England,E92000001,2023-01-04,5005,20472474,3163,19049011,1842,1423463
nation,England,E92000001,2023-01-03,5738,20467469,3566,19045848,2172,1421621
nation,England,E92000001,2023-01-02,4632,20461731,2943,19042282,1689,1419449
nation,England,E92000001,2023-01-01,3333,20457099,2273,19039339,1060,1417760
nation,England,E92000001,2022-12-31,3887,20453766,2647,19037066,1240,1416700
nation,England,E92000001,2022-12-30,5517,20449879,3758,19034419,1759,1415460
nation,England,E92000001,2022-12-29,6946,20444362,4713,19030661,2233,1413701
nation,England,E92000001,2022-12-28,7606,20437416,5076,19025948,2530,1411468
nation,England,E92000001,2022-12-27,5972,20429810,3917,19020872,2055,1408938
nation,England,E92000001,2022-12-26,4490,20423838,3049,19016955,1441,1406883
nation,England,E92000001,2022-12-25,3382,20419348,2413,19013906,969,1405442
nation,England,E92000001,2022-12-24,3778,20415966,2737,19011493,1041,1404473
nation,England,E92000001,2022-12-23,5221,20412188,3645,19008756,1576,1403432
nation,England,E92000001,2022-12-22,6235,20406967,4235,19005111,2000,1401856
nation,England,E92000001,2022-12-21,7034,20400732,4719,19000876,2315,1399856
nation,England,E92000001,2022-12-20,7829,20393698,5286,18996157,2543,1397541
nation,England,E92000001,2022-12-19,8241,20385869,5466,18990871,2775,1394998
nation,England,E92000001,2022-12-18,5210,20377628,3479,18985405,1731,1392223
nation,England,E92000001,2022-12-17,4272,20372418,2837,18981926,1435,1390492
nation,England,E92000001,2022-12-16,5528,20368146,3776,18979089,1752,1389057
nation,England,E92000001,2022-12-15,5547,20362618,3619,18975313,1928,1387305
nation,England,E92000001,2022-12-14,5961,20357071,3900,18971694,2061,1385377
nation,England,E92000001,2022-12-13,6484,20351110,4219,18967794,2265,1383316
nation,England,E92000001,2022-12-12,6353,20344626,4159,18963575,2194,1381051
nation,England,E92000001,2022-12-11,4224,20338273,2703,18959416,1521,1378857
nation,England,E92000001,2022-12-10,3285,20334049,2180,18956713,1105,1377336
nation,England,E92000001,2022-12-09,3825,20330764,2562,18954533,1263,1376231
nation,England,E92000001,2022-12-08,4092,20326939,2675,18951971,1417,1374968
nation,England,E92000001,2022-12-07,4640,20322847,2945,18949296,1695,1373551
nation,England,E92000001,2022-12-06,4763,20318207,3057,18946351,1706,1371856
nation,England,E92000001,2022-12-05,4852,20313444,3019,18943294,1833,1370150
nation,England,E92000001,2022-12-04,3409,20308592,2182,18940275,1227,1368317
nation,England,E92000001,2022-12-03,2481,20305183,1621,18938093,860,1367090
nation,England,E92000001,2022-12-02,3274,20302702,2150,18936472,1124,1366230
nation,England,E92000001,2022-12-01,3215,20299428,2065,18934322,1150,1365106
nation,England,E92000001,2022-11-30,3608,20296213,2263,18932257,1345,1363956
nation,England,E92000001,2022-11-29,3972,20292605,2525,18929994,1447,1362611
nation,England,E92000001,2022-11-28,4238,20288633,2703,18927469,1535,1361164
nation,England,E92000001,2022-11-27,3151,20284395,1964,18924766,1187,1359629
nation,England,E92000001,2022-11-26,2304,20281244,1486,18922802,818,1358442
nation,England,E92000001,2022-11-25,2640,20278940,1773,18921316,867,1357624
nation,England,E92000001,2022-11-24,3005,20276300,1881,18919543,1124,1356757
nation,England,E92000001,2022-11-23,3241,20273295,2095,18917662,1146,1355633
nation,England,E92000001,2022-11-22,3452,20270054,2122,18915567,1330,1354487
nation,England,E92000001,2022-11-21,3549,20266602,2181,18913445,1368,1353157
nation,England,E92000001,2022-11-20,2611,20263053,1643,18911264,968,1351789
nation,England,E92000001,2022-11-19,2206,20260442,1464,18909621,742,1350821
nation,England,E92000001,2022-11-18,2501,20258236,1669,18908157,832,1350079
nation,England,E92000001,2022-11-17,2703,20255735,1714,18906488,989,1349247
nation,England,E92000001,2022-11-16,2934,20253032,1911,18904774,1023,1348258
nation,England,E92000001,2022-11-15,3160,20250098,2019,18902863,1141,1347235
nation,England,E92000001,2022-11-14,3494,20246938,2209,18900844,1285,1346094
nation,England,E92000001,2022-11-13,2647,20243444,1689,18898635,958,1344809
nation,England,E92000001,2022-11-12,2172,20240797,1474,18896946,698,1343851
nation,England,E92000001,2022-11-11,2561,20238625,1729,18895472,832,1343153
nation,England,E92000001,2022-11-10,2806,20236064,1888,18893743,918,1342321
nation,England,E92000001,2022-11-09,3186,20233258,2108,18891855,1078,1341403
nation,England,E92000001,2022-11-08,3380,20230072,2186,18889747,1194,1340325
nation,England,E92000001,2022-11-07,3879,20226692,2495,18887561,1384,1339131
nation,England,E92000001,2022-11-06,2917,20222813,1863,18885066,1054,1337747
nation,England,E92000001,2022-11-05,2374,20219896,1591,18883203,783,1336693
nation,England,E92000001,2022-11-04,2760,20217522,1929,18881612,831,1335910
nation,England,E92000001,2022-11-03,3262,20214762,2202,18879683,1060,1335079
nation,England,E92000001,2022-11-02,3599,20211500,2417,18877481,1182,1334019
nation,England,E92000001,2022-11-01,4091,20207901,2715,18875064,1376,1332837
nation,England,E92000001,2022-10-31,4633,20203810,3107,18872349,1526,1331461
nation,England,E92000001,2022-10-30,3827,20199177,2567,18869242,1260,1329935
nation,England,E92000001,2022-10-29,3227,20195350,2266,18866675,961,1328675
nation,England,E92000001,2022-10-28,3916,20192123,2834,18864409,1082,1327714
nation,England,E92000001,2022-10-27,4374,20188207,3132,18861575,1242,1326632
nation,England,E92000001,2022-10-26,4924,20183833,3462,18858443,1462,1325390
nation,England,E92000001,2022-10-25,5179,20178909,3654,18854981,1525,1323928
nation,England,E92000001,2022-10-24,6147,20173730,4295,18851327,1852,1322403
nation,England,E92000001,2022-10-23,5011,20167583,3597,18847032,1414,1320551
nation,England,E92000001,2022-10-22,4527,20162572,3315,18843435,1212,1319137
nation,England,E92000001,2022-10-21,5760,20158045,4162,18840120,1598,1317925
nation,England,E92000001,2022-10-20,6076,20152285,4303,18835958,1773,1316327
nation,England,E92000001,2022-10-19,7041,20146209,5039,18831655,2002,1314554
nation,England,E92000001,2022-10-18,7665,20139168,5428,18826616,2237,1312552
nation,England,E92000001,2022-10-17,9295,20131503,6598,18821188,2697,1310315
nation,England,E92000001,2022-10-16,7257,20122208,5220,18814590,2037,1307618
nation,England,E92000001,2022-10-15,6005,20114951,4434,18809370,1571,1305581
nation,England,E92000001,2022-10-14,7343,20108946,5494,18804936,1849,1304010
nation,England,E92000001,2022-10-13,7562,20101603,5483,18799442,2079,1302161
nation,England,E92000001,2022-10-12,8120,20094041,5803,18793959,2317,1300082
nation,England,E92000001,2022-10-11,8779,20085921,6425,18788156,2354,1297765
nation,England,E92000001,2022-10-10,9833,20077142,7088,18781731,2745,1295411
nation,England,E92000001,2022-10-09,8014,20067309,5883,18774643,2131,1292666
nation,England,E92000001,2022-10-08,6581,20059295,4966,18768760,1615,1290535
nation,England,E92000001,2022-10-07,8334,20052714,6213,18763794,2121,1288920
nation,England,E92000001,2022-10-06,8818,20044380,6615,18757581,2203,1286799
nation,England,E92000001,2022-10-05,9544,20035562,7035,18750966,2509,1284596
nation,England,E92000001,2022-10-04,10246,20026018,7550,18743931,2696,1282087
nation,England,E92000001,2022-10-03,10881,20015772,7968,18736381,2913,1279391
nation,England,E92000001,2022-10-02,8617,20004891,6500,18728413,2117,1276478
nation,England,E92000001,2022-10-01,6564,19996274,5036,18721913,1528,1274361
nation,England,E92000001,2022-09-30,7098,19989710,5453,18716877,1645,1272833
nation,England,E92000001,2022-09-29,7352,19982612,5560,18711424,1792,1271188
nation,England,E92000001,2022-09-28,7807,19975260,5872,18705864,1935,1269396
nation,England,E92000001,2022-09-27,7644,19967453,5639,18699992,2005,1267461
nation,England,E92000001,2022-09-26,8040,19959809,5869,18694353,2171,1265456
nation,England,E92000001,2022-09-25,6738,19951769,4961,18688484,1777,1263285
nation,England,E92000001,2022-09-24,5309,19945031,4006,18683523,1303,1261508
nation,England,E92000001,2022-09-23,6006,19939722,4525,18679517,1481,1260205
nation,England,E92000001,2022-09-22,6294,19933716,4637,18674992,1657,1258724
nation,England,E92000001,2022-09-21,6940,19927422,5086,18670355,1854,1257067
nation,England,E92000001,2022-09-20,7200,19920482,5165,18665269,2035,1255213
nation,England,E92000001,2022-09-19,5702,19913282,4022,18660104,1680,1253178
nation,England,E92000001,2022-09-18,3943,19907580,2882,18656082,1061,1251498
nation,England,E92000001,2022-09-17,3188,19903637,2381,18653200,807,1250437
nation,England,E92000001,2022-09-16,3729,19900449,2762,18650819,967,1249630
nation,England,E92000001,2022-09-15,4201,19896720,3018,18648057,1183,1248663
nation,England,E92000001,2022-09-14,4451,19892519,3235,18645039,1216,1247480
nation,England,E92000001,2022-09-13,4603,19888068,3407,18641804,1196,1246264
nation,England,E92000001,2022-09-12,4749,19883465,3385,18638397,1364,1245068
nation,England,E92000001,2022-09-11,3889,19878716,2843,18635012,1046,1243704
nation,England,E92000001,2022-09-10,2861,19874827,2119,18632169,742,1242658
nation,England,E92000001,2022-09-09,3103,19871966,2326,18630050,777,1241916
nation,England,E92000001,2022-09-08,3250,19868863,2370,18627724,880,1241139
nation,England,E92000001,2022-09-07,3750,19865613,2740,18625354,1010,1240259
nation,England,E92000001,2022-09-06,3941,19861863,2869,18622614,1072,1239249
nation,England,E92000001,2022-09-05,4385,19857922,3152,18619745,1233,1238177
nation,England,E92000001,2022-09-04,3759,19853537,2770,18616593,989,1236944
nation,England,E92000001,2022-09-03,2971,19849778,2213,18613823,758,1235955
nation,England,E92000001,2022-09-02,3239,19846807,2437,18611610,802,1235197
nation,England,E92000001,2022-09-01,3760,19843568,2733,18609173,1027,1234395
nation,England,E92000001,2022-08-31,3975,19839808,2935,18606440,1040,1233368
nation,England,E92000001,2022-08-30,4474,19835833,3162,18603505,1312,1232328
nation,England,E92000001,2022-08-29,3937,19831359,2841,18600343,1096,1231016
nation,England,E92000001,2022-08-28,2882,19827422,2192,18597502,690,1229920
nation,England,E92000001,2022-08-27,2606,19824540,1978,18595310,628,1229230
nation,England,E92000001,2022-08-26,2997,19821934,2286,18593332,711,1228602
nation,England,E92000001,2022-08-25,3266,19818937,2404,18591046,862,1227891
nation,England,E92000001,2022-08-24,3913,19815671,2907,18588642,1006,1227029
nation,England,E92000001,2022-08-23,4077,19811758,3047,18585735,1030,1226023
nation,England,E92000001,2022-08-22,4575,19807681,3379,18582688,1196,1224993
nation,England,E92000001,2022-08-21,3547,19803106,2612,18579309,935,1223797
nation,England,E92000001,2022-08-20,2844,19799559,2179,18576697,665,1222862
nation,England,E92000001,2022-08-19,3317,19796715,2487,18574518,830,1222197
nation,England,E92000001,2022-08-18,3880,19793398,2892,18572031,988,1221367
nation,England,E92000001,2022-08-17,4390,19789518,3270,18569139,1120,1220379
nation,England,E92000001,2022-08-16,4832,19785128,3609,18565869,1223,1219259
nation,England,E92000001,2022-08-15,5600,19780296,4177,18562260,1423,1218036
nation,England,E92000001,2022-08-14,4781,19774696,3622,18558083,1159,1216613
nation,England,E92000001,2022-08-13,3977,19769915,3054,18554461,923,1215454
nation,England,E92000001,2022-08-12,4779,19765938,3655,18551407,1124,1214531
nation,England,E92000001,2022-08-11,5446,19761159,4082,18547752,1364,1213407
nation,England,E92000001,2022-08-10,6003,19755713,4510,18543670,1493,1212043
nation,England,E92000001,2022-08-09,6462,19749710,4926,18539160,1536,1210550
nation,England,E92000001,2022-08-08,7226,19743248,5310,18534234,1916,1209014
nation,England,E92000001,2022-08-07,5897,19736022,4491,18528924,1406,1207098
nation,England,E92000001,2022-08-06,4852,19730125,3761,18524433,1091,1205692
nation,England,E92000001,2022-08-05,5860,19725273,4491,18520672,1369,1204601
nation,England,E92000001,2022-08-04,6524,19719413,4976,18516181,1548,1203232
nation,England,E92000001,2022-08-03,7421,19712889,5728,18511205,1693,1201684
nation,England,E92000001,2022-08-02,8166,19705468,6177,18505477,1989,1199991
nation,England,E92000001,2022-08-01,8815,19697302,6650,18499300,2165,1198002
nation,England,E92000001,2022-07-31,7672,19688487,5889,18492650,1783,1195837
nation,England,E92000001,2022-07-30,6613,19680815,5146,18486761,1467,1194054
nation,England,E92000001,2022-07-29,7584,19674202,5851,18481615,1733,1192587
nation,England,E92000001,2022-07-28,8340,19666618,6351,18475764,1989,1190854
nation,England,E92000001,2022-07-27,9435,19658278,7191,18469413,2244,1188865
nation,England,E92000001,2022-07-26,10482,19648843,8053,18462222,2429,1186621
nation,England,E92000001,2022-07-25,11929,19638361,9140,18454169,2789,1184192
nation,England,E92000001,2022-07-24,10216,19626432,7841,18445029,2375,1181403
nation,England,E92000001,2022-07-23,8909,19616216,6977,18437188,1932,1179028
nation,England,E92000001,2022-07-22,11176,19607307,8656,18430211,2520,1177096
nation,England,E92000001,2022-07-21,12791,19596131,9872,18421555,2919,1174576
nation,England,E92000001,2022-07-20,14534,19583340,11291,18411683,3243,1171657
nation,England,E92000001,2022-07-19,14866,19568806,11348,18400392,3518,1168414
nation,England,E92000001,2022-07-18,16920,19553940,12798,18389044,4122,1164896
nation,England,E92000001,2022-07-17,15704,19537020,12072,18376246,3632,1160774
nation,England,E92000001,2022-07-16,13671,19521316,10675,18364174,2996,1157142
nation,England,E92000001,2022-07-15,16626,19507645,12842,18353499,3784,1154146
nation,England,E92000001,2022-07-14,19340,19491019,14752,18340657,4588,1150362
nation,England,E92000001,2022-07-13,21639,19471679,16643,18325905,4996,1145774
nation,England,E92000001,2022-07-12,24377,19450040,18606,18309262,5771,1140778
nation,England,E92000001,2022-07-11,27200,19425663,20621,18290656,6579,1135007
nation,England,E92000001,2022-07-10,23046,19398463,17808,18270035,5238,1128428
nation,England,E92000001,2022-07-09,19354,19375417,15269,18252227,4085,1123190
nation,England,E92000001,2022-07-08,22173,19356063,17504,18236958,4669,1119105
nation,England,E92000001,2022-07-07,24049,19333890,18600,18219454,5449,1114436
nation,England,E92000001,2022-07-06,26742,19309841,20650,18200854,6092,1108987
nation,England,E92000001,2022-07-05,28118,19283099,21784,18180204,6334,1102895
nation,England,E92000001,2022-07-04,30388,19254981,23338,18158420,7050,1096561
nation,England,E92000001,2022-07-03,25174,19224593,19478,18135082,5696,1089511
nation,England,E92000001,2022-07-02,19586,19199419,15546,18115604,4040,1083815
nation,England,E92000001,2022-07-01,21068,19179833,16753,18100058,4315,1079775
nation,England,E92000001,2022-06-30,21510,19158765,16834,18083305,4676,1075460
nation,England,E92000001,2022-06-29,21720,19137255,17058,18066471,4662,1070784
nation,England,E92000001,2022-06-28,21873,19115535,17365,18049413,4508,1066122
nation,England,E92000001,2022-06-27,21897,19093662,17278,18032048,4619,1061614
nation,England,E92000001,2022-06-26,18040,19071765,14412,18014770,3628,1056995
nation,England,E92000001,2022-06-25,14478,19053725,11846,18000358,2632,1053367
nation,England,E92000001,2022-06-24,15627,19039247,12680,17988512,2947,1050735
nation,England,E92000001,2022-06-23,16700,19023620,13497,17975832,3203,1047788
nation,England,E92000001,2022-06-22,17764,19006920,14461,17962335,3303,1044585
nation,England,E92000001,2022-06-21,17531,18989156,14193,17947874,3338,1041282
nation,England,E92000001,2022-06-20,16922,18971625,13614,17933681,3308,1037944
nation,England,E92000001,2022-06-19,14524,18954703,11857,17920067,2667,1034636
nation,England,E92000001,2022-06-18,11635,18940179,9652,17908210,1983,1031969
nation,England,E92000001,2022-06-17,11640,18928544,9631,17898558,2009,1029986
nation,England,E92000001,2022-06-16,11915,18916904,9655,17888927,2260,1027977
nation,England,E92000001,2022-06-15,12388,18904989,10106,17879272,2282,1025717
nation,England,E92000001,2022-06-14,12661,18892601,10410,17869166,2251,1023435
nation,England,E92000001,2022-06-13,12956,18879940,10470,17858756,2486,1021184
nation,England,E92000001,2022-06-12,10718,18866984,8838,17848286,1880,1018698
nation,England,E92000001,2022-06-11,8468,18856266,7043,17839448,1425,1016818
nation,England,E92000001,2022-06-10,9154,18847798,7639,17832405,1515,1015393
nation,England,E92000001,2022-06-09,9590,18838644,7902,17824766,1688,1013878
nation,England,E92000001,2022-06-08,9952,18829054,8184,17816864,1768,1012190
nation,England,E92000001,2022-06-07,9484,18819102,7813,17808680,1671,1010422
nation,England,E92000001,2022-06-06,9800,18809618,8049,17800867,1751,1008751
nation,England,E92000001,2022-06-05,8351,18799818,6942,17792818,1409,1007000
nation,England,E92000001,2022-06-04,6278,18791467,5358,17785876,920,1005591
nation,England,E92000001,2022-06-03,5582,18785189,4791,17780518,791,1004671
nation,England,E92000001,2022-06-02,5081,18779607,4334,17775727,747,1003880
nation,England,E92000001,2022-06-01,5713,18774526,4956,17771393,757,1003133
nation,England,E92000001,2022-05-31,5734,18768813,4904,17766437,830,1002376
nation,England,E92000001,2022-05-30,5928,18763079,5041,17761533,887,1001546
nation,England,E92000001,2022-05-29,4687,18757151,3996,17756492,691,1000659
nation,England,E92000001,2022-05-28,4153,18752464,3561,17752496,592,999968
nation,England,E92000001,2022-05-27,4495,18748311,3828,17748935,667,999376
nation,England,E92000001,2022-05-26,4819,18743816,4001,17745107,818,998709
nation,England,E92000001,2022-05-25,5191,18738997,4306,17741106,885,997891
nation,England,E92000001,2022-05-24,5593,18733806,4648,17736800,945,997006
nation,England,E92000001,2022-05-23,6248,18728213,5124,17732152,1124,996061
nation,England,E92000001,2022-05-22,5151,18721965,4345,17727028,806,994937
nation,England,E92000001,2022-05-21,4243,18716814,3589,17722683,654,994131
nation,England,E92000001,2022-05-20,5049,18712571,4240,17719094,809,993477
nation,England,E92000001,2022-05-19,5785,18707522,4733,17714854,1052,992668
nation,England,E92000001,2022-05-18,6391,18701737,5316,17710121,1075,991616
nation,England,E92000001,2022-05-17,6833,18695346,5678,17704805,1155,990541
nation,England,E92000001,2022-05-16,7886,18688513,6455,17699127,1431,989386
nation,England,E92000001,2022-05-15,6730,18680627,5637,17692672,1093,987955
nation,England,E92000001,2022-05-14,5139,18673897,4312,17687035,827,986862
nation,England,E92000001,2022-05-13,5794,18668758,4906,17682723,888,986035
nation,England,E92000001,2022-05-12,6376,18662964,5342,17677817,1034,985147
nation,England,E92000001,2022-05-11,7265,18656588,6065,17672475,1200,984113
nation,England,E92000001,2022-05-10,8155,18649323,6775,17666410,1380,982913
nation,England,E92000001,2022-05-09,8878,18641168,7334,17659635,1544,981533
nation,England,E92000001,2022-05-08,7664,18632290,6417,17652301,1247,979989
nation,England,E92000001,2022-05-07,6356,18624626,5448,17645884,908,978742
nation,England,E92000001,2022-05-06,7518,18618270,6374,17640436,1144,977834
nation,England,E92000001,2022-05-05,8594,18610752,7217,17634062,1377,976690
nation,England,E92000001,2022-05-04,9783,18602158,8242,17626845,1541,975313
nation,England,E92000001,2022-05-03,11156,18592375,9308,17618603,1848,973772
nation,England,E92000001,2022-05-02,10343,18581219,8744,17609295,1599,971924
nation,England,E92000001,2022-05-01,7718,18570876,6638,17600551,1080,970325
nation,England,E92000001,2022-04-30,6863,18563158,5944,17593913,919,969245
nation,England,E92000001,2022-04-29,7992,18556295,6860,17587969,1132,968326
nation,England,E92000001,2022-04-28,9057,18548303,7721,17581109,1336,967194
nation,England,E92000001,2022-04-27,10120,18539246,8630,17573388,1490,965858
nation,England,E92000001,2022-04-26,11294,18529126,9635,17564758,1659,964368
