areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2023-04-26,942,20795205,541,19248358,401,1546847
nation,England,E92000001,2023-04-25,1426,20794263,848,19247817,578,1546446
nation,England,E92000001,2023-04-24,1630,20792837,966,19246969,664,1545868
nation,England,E92000001,2023-04-23,1391,20791207,833,19246003,558,1545204
nation,England,E92000001,2023-04-22,1162,20789816,746,19245170,416,1544646
nation,England,E92000001,2023-04-21,1291,20788654,832,19244424,459,1544230
nation,England,E92000001,2023-04-20,1448,20787363,948,19243592,500,1543771
nation,England,E92000001,2023-04-19,1697,20785915,1081,19242644,616,1543271
nation,England,E92000001,2023-04-18,1780,20784218,1123,19241563,657,1542655
nation,England,E92000001,2023-04-17,2036,20782438,1294,19240440,742,1541998
nation,England,E92000001,2023-04-16,1772,20780402,1107,19239146,665,1541256
nation,England,E92000001,2023-04-15,1265,20778630,786,19238039,479,1540591
nation,England,E92000001,2023-04-14,1549,20777365,1000,19237253,549,1540112
nation,England,E92000001,2023-04-13,1871,20775816,1220,19236253,651,1539563
nation,England,E92000001,2023-04-12,2053,20773945,1326,19235033,727,1538912
nation,England,E92000001,2023-04-11,2282,20771892,1475,19233707,807,1538185
nation,England,E92000001,2023-04-10,2132,20769610,1338,19232232,794,1537378
nation,England,E92000001,2023-04-09,1639,20767478,1096,19230894,543,1536584
nation,England,E92000001,2023-04-08,1528,20765839,1006,19229798,522,1536041
nation,England,E92000001,2023-04-07,1597,20764311,1057,19228792,540,1535519
nation,England,E92000001,2023-04-06,1958,20762714,1288,19227735,670,1534979
nation,England,E92000001,2023-04-05,2235,20760756,1421,19226447,814,1534309
nation,England,E92000001,2023-04-04,2177,20758521,1429,19225026,748,1533495
nation,England,E92000001,2023-04-03,2456,20756344,1562,19223597,894,1532747
nation,England,E92000001,2023-04-02,2249,20753888,1418,19222035,831,1531853
nation,England,E92000001,2023-04-01,2081,20751639,1338,19220617,743,1531022
nation,England,E92000001,2023-03-31,2505,20749558,1598,19219279,907,1530279
nation,England,E92000001,2023-03-30,3046,20747053,1939,19217681,1107,1529372
nation,England,E92000001,2023-03-29,3434,20744007,2111,19215742,1323,1528265
nation,England,E92000001,2023-03-28,3590,20740573,2216,19213631,1374,1526942
nation,England,E92000001,2023-03-27,3923,20736983,2349,19211415,1574,1525568
nation,England,E92000001,2023-03-26,3152,20733060,1879,19209066,1273,1523994
nation,England,E92000001,2023-03-25,2752,20729908,1715,19207187,1037,1522721
nation,England,E92000001,2023-03-24,3737,20727156,2310,19205472,1427,1521684
nation,England,E92000001,2023-03-23,3960,20723419,2372,19203162,1588,1520257
nation,England,E92000001,2023-03-22,4321,20719459,2614,19200790,1707,1518669
nation,England,E92000001,2023-03-21,4748,20715138,2882,19198176,1866,1516962
nation,England,E92000001,2023-03-20,4727,20710390,2789,19195294,1938,1515096
nation,England,E92000001,2023-03-19,3681,20705663,2176,19192505,1505,1513158
nation,England,E92000001,2023-03-18,3100,20701982,1917,19190329,1183,1511653
nation,England,E92000001,2023-03-17,3708,20698882,2336,19188412,1372,1510470
nation,England,E92000001,2023-03-16,4346,20695174,2642,19186076,1704,1509098
nation,England,E92000001,2023-03-15,4367,20690828,2663,19183434,1704,1507394
nation,England,E92000001,2023-03-14,5065,20686461,3059,19180771,2006,1505690
nation,England,E92000001,2023-03-13,5290,20681396,3140,19177712,2150,1503684
nation,England,E92000001,2023-03-12,4025,20676106,2389,19174572,1636,1501534
nation,England,E92000001,2023-03-11,3084,20672081,1892,19172183,1192,1499898
nation,England,E92000001,2023-03-10,3592,20668997,2267,19170291,1325,1498706
nation,England,E92000001,2023-03-09,3959,20665405,2426,19168024,1533,1497381
nation,England,E92000001,2023-03-08,4315,20661446,2634,19165598,1681,1495848
nation,England,E92000001,2023-03-07,4450,20657131,2731,19162964,1719,1494167
nation,England,E92000001,2023-03-06,4575,20652681,2696,19160233,1879,1492448
nation,England,E92000001,2023-03-05,3152,20648106,1897,19157537,1255,1490569
nation,England,E92000001,2023-03-04,2568,20644954,1554,19155640,1014,1489314
nation,England,E92000001,2023-03-03,3419,20642386,2081,19154086,1338,1488300
nation,England,E92000001,2023-03-02,3562,20638967,2233,19152005,1329,1486962
nation,England,E92000001,2023-03-01,3968,20635405,2438,19149772,1530,1485633
nation,England,E92000001,2023-02-28,4151,20631437,2474,19147334,1677,1484103
nation,England,E92000001,2023-02-27,4314,20627286,2625,19144860,1689,1482426
nation,England,E92000001,2023-02-26,2898,20622972,1777,19142235,1121,1480737
nation,England,E92000001,2023-02-25,2524,20620074,1588,19140458,936,1479616
nation,England,E92000001,2023-02-24,3113,20617550,1928,19138870,1185,1478680
nation,England,E92000001,2023-02-23,3482,20614437,2180,19136942,1302,1477495
nation,England,E92000001,2023-02-22,3851,20610955,2317,19134762,1534,1476193
nation,England,E92000001,2023-02-21,4315,20607104,2549,19132445,1766,1474659
nation,England,E92000001,2023-02-20,4544,20602789,2705,19129896,1839,1472893
nation,England,E92000001,2023-02-19,3436,20598245,2061,19127191,1375,1471054
nation,England,E92000001,2023-02-18,2906,20594809,1843,19125130,1063,1469679
nation,England,E92000001,2023-02-17,3780,20591903,2317,19123287,1463,1468616
nation,England,E92000001,2023-02-16,4006,20588123,2506,19120970,1500,1467153
nation,England,E92000001,2023-02-15,3897,20584117,2388,19118464,1509,1465653
nation,England,E92000001,2023-02-14,4354,20580220,2633,19116076,1721,1464144
nation,England,E92000001,2023-02-13,4545,20575866,2763,19113443,1782,1462423
nation,England,E92000001,2023-02-12,2921,20571321,1808,19110680,1113,1460641
nation,England,E92000001,2023-02-11,2394,20568400,1506,19108872,888,1459528
nation,England,E92000001,2023-02-10,3046,20566006,1941,19107366,1105,1458640
nation,England,E92000001,2023-02-09,3038,20562960,1882,19105425,1156,1457535
nation,England,E92000001,2023-02-08,3331,20559922,2000,19103543,1331,1456379
nation,England,E92000001,2023-02-07,3393,20556591,2063,19101543,1330,1455048
nation,England,E92000001,2023-02-06,3620,20553198,2159,19099480,1461,1453718
nation,England,E92000001,2023-02-05,2614,20549578,1570,19097321,1044,1452257
nation,England,E92000001,2023-02-04,2223,20546964,1372,19095751,851,1451213
nation,England,E92000001,2023-02-03,2744,20544741,1706,19094379,1038,1450362
nation,England,E92000001,2023-02-02,2954,20541997,1858,19092673,1096,1449324
nation,England,E92000001,2023-02-01,3209,20539043,1958,19090815,1251,1448228
nation,England,E92000001,2023-01-31,3275,20535834,1941,19088857,1334,1446977
nation,England,E92000001,2023-01-30,3272,20532559,1979,19086916,1293,1445643
